Sentence,Font Size,Page Number
"•ProjectionΠc1,c2,...,cn(A):selectcolumnsc1,c2,···,cn•UnionA∪B:puttogethertherowsoftwotables(they",12,7
musthavethesamecolumns),12,7
•SetdifferenceA−B:rowsthatareintableAbutnotinB•IntersectionA∩B:rowsthatarepresentinbothtables•CartesianproductA×B:concatenationofeveryrowinA,12,7
witheveryrowinB.,12,7
•Question:Howmanyattributesdoesithave?How,11,7
manytuples?,11,7
6,8,7
Joins,14,8
Credit:DatabaseSystemsbyConnollyandBegg,11,8
"•Θjoin:rowsfromtheCartesianproductthatsatisfyacondition,i.e.",8,8
"σcondition(A×B),wheretheconditioncomparessomefieldofAwithsomefieldofB.Ifthecomparisonisequality,thenitiscalledequijoin.•Naturaljoin:equijoinofAandBonallcommonattributes.•Leftouterjoin:Wherealltherowsinthelefttablearekept,butrowsforwhichthereisnomatchontheright,therightattributesaremadenull.Similarly,rightouterjoinandfullouterjoin.",8,8
7,8,8
Aggregatefunctionsandgroupingoperation,14,9
•Aggregatefunctionsperformsomekindofaggregationon,12,9
"thedata:e.g.,COUNT,SUM,AVG,MIN,MAX.",12,9
•Groupingoperationgroupsrowsbysomeattribute(andmaythenapplysomeaggregatefunctionsoneachsuchgroup),12,9
8,8,9
StructuredQueryLanguage(SQL),14,10
Aimedatbeinganaturalenglish-likelanguageforqueryingdatabases.,12,10
"•DataDefinitionLanguagefordefiningdatabasestructure.CREATETABLEstudents(SIDVARCHAR(8),FirstNameVARCHAR(64),,→",12,10
LastNameVARCHAR(64));,8,10
"CREATETABLEmarks(SIDVARCHAR(8),SubjectVARCHAR(4),Marks,→",8,10
"DECIMAL(4,2));",8,10
•DataManipulationLanguageforretrievingandupdatingdata.,8,10
"INSERTINTOstudentsVALUES('U2021003','Peter','Norvig');",8,10
"SELECTSID,Subject,MarksFROMmarksWHEREMarks<40;",8,10
9,8,10
SELECT,14,11
ThemostusedSQLcommand.,12,11
SELECT,12,11
"[ALL|DISTINCT]col_expr[,col_expr]...FROMtable_references[WHEREwhere_cond][GROUPBY{col_list}][HAVINGwhere_cond][ORDERBY{col_list}]",12,11
"SELECTSID,FirstNameFROMstudents;",12,11
",→",6,11
SELECT*FROMmarks;,12,11
•Question:Whatcould,12,11
DISTINCTdo?,12,11
10,8,11
SELECTwithWHERE,14,12
"•Conditions(<,>,,<>,>,<=,AND,OR,NOT),set",12,12
membership,12,12
SELECT*FROMmarksWHERE(Marks<40)OR,12,12
",→",6,12
(Marks>80);,12,12
"SELECT*FROMmarksWHERESubjectIN('DMPR',",12,12
",→",6,12
'FOCS');,12,12
SELECT*FROMmarksWHERESubjectNOTIN,12,12
",→",6,12
"('DMPR','FOCS');",12,12
11,8,12
SELECTwithWHERE,14,13
"•Stringpatternmatching(LIKE,NOTLIKE)",12,13
SELECT*FROMStudentsWHEREFirstNameLIKE,12,13
",→",6,13
'A%';,12,13
SELECT*FROMStudentsWHEREFirstNameLIKE,12,13
",→",6,13
'Vi____';,12,13
SELECT*FROMStudentsWHEREFirstNameNOT,12,13
",→",6,13
LIKE'%ish%';,12,13
Escape%with#.,12,13
12,8,13
SELECTwithNULL,14,14
YoucannotcompareNULLtoanything.,12,14
SELECT*FROMStudentsWHERELastNameISNULL;,12,14
Thisisdifferentfrom,12,14
SELECT*FROMStudentsWHERELastName='';,12,14
13,8,14
SELECTwithORDERBY,14,15
UseORDERBYforsorting,12,15
SELECT*FROMStudentsORDERBYLastName;,12,15
SELECT*FROMStudentsORDERBYLastNameDESC;,12,15
"SELECTSID,LastName,FirstNameFROMStudents",12,15
",→",6,15
"ORDERBYLastName,FirstName,SID;",12,15
14,8,15
SELECTwithaggregatefunction,14,16
AggregarefunctionsignoreNULLvalues.,12,16
•Findthenumberofsubjects,12,16
SELECTCOUNT(DISTINCTSubject)FROMmarks;,12,16
Specialcase:COUNT(*)countsallrowsregardlessofNULLorduplicates.,12,16
•Totalnumberofstudents(irrespectiveofNULLvalues,12,16
anywhere),12,16
SELECTCOUNT(DISTINCTSubject)FROMmarks;,12,16
15,8,16
Grouping:SELECTwithGROUPBY,14,17
•EachitemintheSELECTlistmusthaveasinglevalued,12,17
resultpergroup.,12,17
•AllcolumnsintheSELECTlistmustappearinGROUP,12,17
BYclauseunlessitisargumenttoanaggregatefunction.,12,17
"SELECTSID,SUM(Marks)FROMmarksGROUPBY",12,17
",→",6,17
SIDORDERBYSID;,12,17
SELECTSUM(Marks)FROMmarksGROUPBYSID;,12,17
•Contrastwithpandasgroupby.,12,17
16,8,17
Restrictinggroups,14,18
HAVINGclause,12,18
"SELECTSID,SUM(Marks)FROMmarksGROUPBYSID",12,18
",→",6,18
HAVINGSUM(Marks)<200;,12,18
17,8,18
Reference,14,19
"•DatabaseSystems:APracticalApproachtoDesign,",12,19
"Implementation,andManagementbyThomasConnollyandCarolynBegg",12,19
18,8,19
